region,nodr_eue,case_eue,load,dneue_ppm,category
p99,932347.2,430273.6,3654916600.0,-137.3693722316523,value
p124,24353.922,21235.318,22996172.0,-135.61404915565944,value
p113,14831.151,6342.8525,328775680.0,-25.81790265022036,value
p125,3919.1003,2052.4429,258986860.0,-7.2075369814895325,value
p126,12716.168,8185.828,1824293600.0,-2.4833392610340477,value
p110,0.0,30.759996,99486340.0,0.3091881482096195,value
p109,13.8359995,444.6791,1123909900.0,0.3833430999229718,value
p116,0.0,254.036,404781700.0,0.6275876664146395,value
p117,4.872,190.762,262161950.0,0.7090655168756144,value
p114,179.839,1024.8391,510494340.0,1.6552585218105142,value
p111,1848.435,4409.084,1354601900.0,1.8903333024814637,value
p112,46.225998,2766.574,1310099300.0,2.0764440862303837,value
p115,0.0,1414.375,604805100.0,2.3385632052850345,value
p120,3.307,104.715996,43246748.0,2.3448929847858158,value
z122,0.0,8932.519,2634114000.0,3.3910904528914307,value
p121,0.0,482.497,126688130.0,3.8085415548961303,value
p123,3534.9717,10127.691,1503455500.0,4.385044554109207,value
p100,102.355,1658.3083,123685440.0,12.579922907659947,value
p118,9798.439,27043.707,583109300.0,29.57467432795859,value
