region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,1786.3772,9.0,-2132.7231,-236.96923333333336,value
p99,932347.2,554268.7,4696.0,-378078.5,-80.5107538330494,value
p113,14831.151,5966.0044,116.0,-8865.1466,-76.42367758620689,value
p124,24353.922,22404.951,30.0,-1948.9709999999977,-64.96569999999993,value
p126,12716.168,7584.39,157.0,-5131.777999999999,-32.68648407643312,value
p110,0.0,59.615005,16.0,59.615005,3.7259378125,value
p109,13.8359995,817.533,181.0,803.6970005000001,4.440314919889503,value
p120,3.307,187.19601,24.0,183.88901,7.662042083333334,value
p115,0.0,2624.1116,329.0,2624.1116,7.976023100303952,value
p111,1848.435,5908.2236,480.0,4059.7886000000003,8.457892916666667,value
p114,179.839,1750.0393,181.0,1570.2003,8.675139779005525,value
p121,0.0,811.7821,83.0,811.7821,9.780507228915663,value
p116,0.0,424.62103,43.0,424.62103,9.874907674418605,value
p112,46.225998,4638.9077,464.0,4592.681702,9.898020909482758,value
p123,3534.9717,13428.967,989.0,9893.9953,10.00403973710819,value
z122,0.0,14432.152,1433.0,14432.152,10.07128541521284,value
p117,4.872,314.21088,28.0,309.33887999999996,11.047817142857141,value
p100,102.355,2231.0874,159.0,2128.7324,13.388254088050314,value
p118,9798.439,31381.857,749.0,21583.417999999998,28.816312416555405,value
