region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p99,932347.2,818726.25,4696.0,-113620.94999999995,-24.19526192504258,value
p124,24353.922,23847.66,30.0,-506.2619999999988,-16.87539999999996,value
p113,14831.151,14252.003,116.0,-579.1479999999992,-4.992655172413786,value
p125,3919.1003,3897.507,9.0,-21.5933,-2.3992555555555555,value
p126,12716.168,12514.504,157.0,-201.66399999999885,-1.2844840764331138,value
p118,9798.439,9561.459,749.0,-236.97999999999956,-0.3163951935914547,value
p117,4.872,2.128,28.0,-2.7439999999999998,-0.09799999999999999,value
p114,179.839,167.59299,181.0,-12.246010000000012,-0.06765751381215476,value
p109,13.8359995,13.146,181.0,-0.689999499999999,-0.0038121519337016518,value
p116,0.0,0.0,43.0,0.0,0.0,no_eue
p121,0.0,0.0,83.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
p115,0.0,0.0,329.0,0.0,0.0,no_eue
z122,0.0,0.604,1433.0,0.604,0.000421493370551291,value
p112,46.225998,49.098,464.0,2.872002000000002,0.006189659482758625,value
p120,3.307,3.68,24.0,0.3730000000000002,0.015541666666666676,value
p123,3534.9717,3599.4912,989.0,64.51949999999988,0.06523710819009088,value
p100,102.355,112.82299,159.0,10.46799,0.06583641509433963,value
p111,1848.435,1923.327,480.0,74.89200000000005,0.1560250000000001,value
