region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p124,24353.922,16133.03,30.0,-8220.891999999998,-274.02973333333324,value
p125,3919.1003,1737.4741,9.0,-2181.6262,-242.40291111111114,value
p99,932347.2,312641.88,4696.0,-619705.32,-131.9645059625213,value
p113,14831.151,8231.329,116.0,-6599.822,-56.895017241379314,value
p126,12716.168,7934.417,157.0,-4781.750999999999,-30.4570127388535,value
p118,9798.439,6702.8184,749.0,-3095.6206,-4.133004806408545,value
p111,1848.435,1419.832,480.0,-428.60299999999984,-0.8929229166666663,value
p114,179.839,90.93801,181.0,-88.90099,-0.4911656906077348,value
p117,4.872,2.458,28.0,-2.4139999999999997,-0.0862142857142857,value
p109,13.8359995,0.938,181.0,-12.8979995,-0.07125966574585635,value
p123,3534.9717,3472.7502,989.0,-62.221500000000106,-0.06291354903943387,value
p120,3.307,2.238,24.0,-1.069,-0.04454166666666667,value
p112,46.225998,31.094,464.0,-15.131997999999996,-0.032612064655172406,value
p115,0.0,0.0,329.0,0.0,0.0,no_eue
p116,0.0,0.0,43.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
p121,0.0,0.0,83.0,0.0,0.0,no_eue
z122,0.0,0.604,1433.0,0.604,0.000421493370551291,value
p100,102.355,113.687,159.0,11.331999999999994,0.07127044025157228,value
