region,nodr_eue,case_eue,load,dneue_ppm,category
p124,24353.922,22110.162,22996172.0,-97.57102182050119,value
p99,932347.2,579635.44,3654916600.0,-96.50336733483141,value
p113,14831.151,10886.51,328775680.0,-11.997970774480642,value
p125,3919.1003,3205.5762,258986860.0,-2.755059036507736,value
p126,12716.168,10753.604,1824293600.0,-1.0757939213154037,value
p110,0.0,17.720001,99486340.0,0.1781149222341448,value
p109,13.8359995,277.62302,1123909900.0,0.23470477777307353,value
p116,0.0,177.85799,404781700.0,0.4393923731175829,value
p117,4.872,127.89499,262161950.0,0.4692633277310965,value
p111,1848.435,3432.8386,1354601900.0,1.1696452304285045,value
p114,179.839,823.911,510494340.0,1.2616633615304202,value
p112,46.225998,1881.9291,1310099300.0,1.4011938352814728,value
p120,3.307,87.20799,43246748.0,1.9400531572917343,value
p115,0.0,1183.6249,604805100.0,1.9570351851518717,value
z122,0.0,5647.9204,2634114000.0,2.1441442158847632,value
p123,3534.9717,6950.287,1503455500.0,2.2716437747972757,value
p121,0.0,332.52,126688130.0,2.6247131854375496,value
p100,102.355,905.20593,123685440.0,6.491070654718938,value
p118,9798.439,17987.447,583109300.0,14.04369272017388,value
